name,num_tracks,idx,file,pid,modified_at,collaborative,num_albums,num_followers
omg,201,487,mpd.slice.549000-549999.json,549487,1478217600,false,35,1
Better days,201,743,mpd.slice.549000-549999.json,549743,1369958400,false,47,3
i dunno ,202,424,mpd.slice.549000-549999.json,549424,1507507200,false,159,1
Hooping ,203,919,mpd.slice.549000-549999.json,549919,1452038400,false,97,1
ayyyyy,205,256,mpd.slice.549000-549999.json,549256,1509408000,false,180,1
Bangbang,205,549,mpd.slice.549000-549999.json,549549,1488931200,false,115,1
Chill out,206,980,mpd.slice.549000-549999.json,549980,1509235200,false,174,1
Lovely ,208,905,mpd.slice.549000-549999.json,549905,1488412800,true,164,1
Work Playlist,208,993,mpd.slice.549000-549999.json,549993,1505088000,false,186,1
90s,210,946,mpd.slice.549000-549999.json,549946,1468713600,false,161,4
80s,213,345,mpd.slice.549000-549999.json,549345,1460419200,false,176,1
Chinese Songs,213,384,mpd.slice.549000-549999.json,549384,1504656000,false,105,2
??,213,959,mpd.slice.549000-549999.json,549959,1450828800,false,171,1
all songs,214,594,mpd.slice.549000-549999.json,549594,1498953600,false,180,1
alt,215,175,mpd.slice.549000-549999.json,549175,1508284800,false,178,2
it's not a phase mom,215,279,mpd.slice.549000-549999.json,549279,1429660800,false,56,2
road mix,215,334,mpd.slice.549000-549999.json,549334,1500508800,false,147,1
Punk Goes,216,370,mpd.slice.549000-549999.json,549370,1371772800,false,47,1
Roll up,222,376,mpd.slice.549000-549999.json,549376,1497225600,false,127,2
Traphouse,223,278,mpd.slice.549000-549999.json,549278,1508544000,false,172,1
Always,224,143,mpd.slice.549000-549999.json,549143,1442016000,false,152,1
Road Trip!,224,420,mpd.slice.549000-549999.json,549420,1408665600,true,164,1
2016,225,323,mpd.slice.549000-549999.json,549323,1482796800,false,178,1
Reggae love,228,928,mpd.slice.549000-549999.json,549928,1501372800,false,21,1
Old School,229,430,mpd.slice.549000-549999.json,549430,1509235200,false,155,1
Autumn,229,670,mpd.slice.549000-549999.json,549670,1440288000,false,179,2
Relaxing Music,230,293,mpd.slice.549000-549999.json,549293,1424563200,false,135,3
Weekend Playlist ,230,356,mpd.slice.549000-549999.json,549356,1478995200,false,205,2
Alt ,230,941,mpd.slice.549000-549999.json,549941,1507680000,true,193,3
My 80's,232,104,mpd.slice.549000-549999.json,549104,1501718400,false,197,2
Classic Rock,235,847,mpd.slice.549000-549999.json,549847,1479686400,true,162,4
songs i like,236,164,mpd.slice.549000-549999.json,549164,1509235200,false,201,1
☀️,236,320,mpd.slice.549000-549999.json,549320,1501200000,false,106,1
Hot Country,237,990,mpd.slice.549000-549999.json,549990,1464220800,false,132,1
THROWBACKS,238,821,mpd.slice.549000-549999.json,549821,1498694400,false,211,5
BANDA ROMANTICA,241,186,mpd.slice.549000-549999.json,549186,1507766400,false,157,1
tailgate,242,112,mpd.slice.549000-549999.json,549112,1509062400,false,169,2
jams,244,281,mpd.slice.549000-549999.json,549281,1472342400,false,46,1
EDM,247,372,mpd.slice.549000-549999.json,549372,1507507200,false,214,1
Drive Home,247,866,mpd.slice.549000-549999.json,549866,1503792000,false,169,5
